Ec,Rel,Erat_1,E50_1,c_1,phi_1,k0_1,Erat_2,E50_2,c_2,phi_2,k0_2
11.5,30.09,2.03,69.0,30.2,30.9,0.92,2.0,143.0,5.41,42.4,0.502
14.2,57.57,2.69,64.5,30.3,28.0,0.649,2.17,127.0,4.32,43.1,0.627
13.0,33.24,2.58,65.8,29.0,29.5,0.863,2.52,127.0,6.63,42.6,0.622
11.7,50.5,2.61,68.1,27.0,30.2,0.699,2.03,133.0,3.54,39.7,0.65
12.7,31.01,2.79,71.8,34.0,30.6,1.0,2.36,130.0,5.06,42.0,0.503
14.1,64.17,2.78,75.6,33.1,29.4,0.857,2.13,114.0,4.7,40.9,0.551
13.5,68.86,2.44,63.3,41.9,31.2,0.904,2.3,116.0,5.26,41.0,0.482
12.9,55.88,2.28,66.0,36.0,28.9,0.941,2.37,127.0,7.03,42.7,0.521
13.2,64.6,2.14,60.8,34.5,29.2,0.712,2.26,121.0,3.75,42.8,0.534
13.3,42.59,2.86,63.1,26.8,30.8,0.894,2.37,123.0,4.77,40.2,0.519
12.6,64.94,2.36,68.6,21.4,30.0,1.04,2.5,113.0,5.02,42.2,0.537
11.9,50.54,2.38,75.1,14.7,30.2,0.913,2.95,137.0,4.58,41.0,0.52
13.0,34.47,2.35,73.4,24.6,32.1,0.718,2.46,113.0,5.11,42.1,0.593
12.9,63.28,2.29,65.6,28.8,28.7,1.1,2.15,120.0,6.1,42.2,0.54
12.0,54.74,2.11,65.5,23.8,29.8,0.952,2.88,114.0,6.98,40.9,0.577
13.7,38.34,2.44,61.3,26.4,29.3,0.919,2.98,140.0,5.63,41.2,0.615
14.5,37.13,2.07,56.7,28.9,30.6,0.845,2.76,134.0,2.95,43.6,0.515
13.5,41.32,2.38,67.0,36.8,28.8,0.691,2.52,135.0,5.88,42.4,0.575
14.2,42.37,2.97,65.5,33.8,30.9,0.624,2.19,139.0,3.45,40.2,0.504
12.2,68.96,2.08,63.3,30.0,30.1,0.841,2.16,138.0,4.54,41.4,0.5
12.0,50.92,2.35,64.3,30.8,29.8,0.781,2.97,141.0,4.88,42.7,0.603
12.9,40.43,2.52,72.0,33.3,30.3,0.72,2.07,132.0,4.94,41.8,0.602
14.0,57.36,2.01,66.2,40.3,29.6,0.779,2.34,99.2,6.74,42.7,0.501
12.2,58.59,2.7,72.5,42.2,30.8,1.07,2.93,139.0,6.29,42.3,0.481
15.7,35.89,2.7,69.4,31.3,29.9,0.718,2.15,122.0,5.73,43.1,0.53
12.7,49.95,2.42,67.2,35.5,29.1,1.01,2.11,127.0,4.71,40.6,0.497
14.6,68.02,2.82,70.8,24.5,30.6,1.1,2.48,119.0,6.11,40.9,0.538
12.7,50.88,2.78,65.5,38.2,29.3,0.984,2.6,133.0,4.3,42.5,0.469
12.3,48.81,2.66,65.4,33.4,30.7,0.93,2.16,139.0,5.86,41.6,0.562
13.1,42.54,2.27,70.6,21.3,29.6,1.06,2.42,103.0,4.46,42.1,0.611
11.9,46.42,2.99,62.0,32.9,30.1,0.965,2.24,119.0,5.65,42.6,0.583
13.6,42.96,2.05,61.9,30.2,29.2,0.648,2.01,130.0,3.89,42.6,0.601
13.7,49.58,2.35,63.1,31.0,31.6,0.838,2.25,151.0,4.73,42.9,0.639
12.6,62.79,2.76,58.9,25.7,30.3,0.721,2.98,124.0,4.4,42.1,0.544
13.6,35.78,2.29,70.3,32.5,28.5,0.727,2.96,125.0,4.03,41.4,0.544
13.6,33.18,2.12,68.8,31.6,28.4,0.683,2.97,133.0,4.6,43.2,0.61
12.5,58.36,2.55,66.9,25.5,31.2,0.689,2.69,122.0,6.6,42.0,0.556
12.6,36.74,2.53,58.2,29.2,30.8,0.702,2.49,140.0,6.08,43.4,0.541
14.9,61.7,2.07,65.8,28.9,29.8,0.887,2.31,136.0,5.06,42.5,0.548
12.2,64.09,2.04,67.1,26.7,27.5,0.743,2.12,144.0,5.63,41.8,0.58
12.2,67.65,2.9,64.1,33.5,30.1,0.605,2.81,125.0,5.05,41.3,0.624
14.3,33.83,2.68,55.5,28.4,28.8,0.889,2.09,119.0,4.36,43.7,0.539
12.4,59.1,2.77,58.5,33.6,32.2,0.732,2.01,133.0,5.22,41.4,0.581
12.7,58.43,2.29,65.2,31.6,29.8,0.852,2.23,122.0,5.31,43.5,0.487
12.1,38.09,2.86,62.5,23.1,29.4,0.837,2.32,140.0,4.35,41.5,0.489
12.1,32.08,2.33,70.7,21.4,30.0,0.627,2.53,118.0,5.36,42.9,0.645
10.8,36.6,2.3,59.0,25.9,29.6,0.931,2.73,133.0,4.38,41.4,0.478
12.4,30.5,2.4,63.8,40.2,31.5,0.994,2.04,127.0,5.54,42.2,0.602
12.7,44.23,2.28,67.9,30.7,29.1,0.823,2.54,135.0,4.99,41.2,0.52
13.7,56.75,2.31,57.0,35.0,31.2,0.963,2.56,138.0,4.38,41.0,0.551
13.1,46.06,2.05,68.1,31.2,28.8,0.742,2.05,143.0,4.91,42.0,0.461
11.8,66.14,2.93,66.4,42.8,29.5,1.06,2.25,123.0,5.01,40.9,0.565
13.6,42.92,2.7,70.1,32.0,29.9,1.02,2.55,126.0,4.17,42.4,0.493
11.8,55.0,2.01,70.6,31.4,30.8,0.836,2.9,140.0,3.72,41.1,0.598
12.4,41.25,2.74,59.1,30.0,31.2,1.01,2.42,147.0,4.41,41.5,0.497
13.5,31.0,2.27,63.2,32.6,29.9,0.617,2.72,133.0,6.25,42.3,0.521
13.9,30.38,2.94,66.1,35.2,30.5,0.641,2.95,124.0,4.87,40.4,0.635
11.3,59.03,2.38,65.2,29.4,31.0,1.06,2.97,141.0,5.15,42.4,0.565
11.1,52.05,2.96,69.2,27.9,28.7,1.09,2.48,119.0,3.68,42.9,0.551
12.4,45.2,2.54,72.2,29.5,30.6,0.602,2.22,123.0,6.15,41.6,0.576
13.6,69.96,2.53,67.6,29.4,28.5,0.696,2.97,139.0,5.83,42.9,0.624
14.3,34.68,2.91,70.8,28.0,30.5,1.01,2.53,130.0,4.58,41.1,0.524
13.8,56.29,2.6,61.1,31.1,30.2,0.759,2.18,141.0,6.8,40.7,0.587
14.1,57.82,2.06,66.7,28.7,30.0,0.977,2.88,142.0,6.13,40.7,0.495
12.6,40.9,2.4,65.8,30.5,31.6,0.856,2.24,140.0,5.59,43.0,0.599
13.9,46.88,2.08,69.9,35.3,29.0,0.943,2.59,129.0,4.37,41.1,0.543
12.0,48.6,2.78,58.6,32.4,29.5,0.826,2.24,149.0,5.07,42.9,0.459
13.1,37.11,2.74,70.9,34.5,29.6,0.663,2.18,139.0,5.63,42.5,0.462
13.8,47.5,2.93,64.0,29.8,29.0,0.725,2.46,136.0,7.36,42.6,0.605
13.1,57.64,2.18,64.2,28.6,30.0,0.703,2.75,132.0,5.84,42.7,0.58
12.9,64.0,2.81,51.7,35.0,31.0,1.07,2.08,115.0,3.94,41.4,0.618
13.2,38.95,2.78,55.1,37.1,29.8,0.64,2.19,136.0,4.47,41.5,0.527
12.3,64.22,2.66,65.4,39.5,29.5,0.69,2.38,141.0,2.64,40.4,0.514
12.3,68.14,2.29,60.1,37.1,28.7,0.971,2.05,142.0,4.61,41.9,0.484
10.8,47.74,2.98,56.5,28.3,31.0,0.897,2.64,111.0,3.28,42.0,0.522
11.0,41.04,2.98,71.3,22.4,30.0,0.602,2.8,145.0,4.14,41.9,0.539
11.7,39.84,2.77,58.8,33.2,31.1,0.896,2.59,139.0,5.78,41.6,0.517
14.4,47.92,2.32,67.6,31.5,31.4,0.754,2.21,138.0,4.86,41.5,0.499
14.9,50.39,2.75,62.9,29.4,29.3,0.681,2.59,133.0,5.42,39.8,0.574
13.3,68.89,2.05,68.0,21.1,31.3,0.881,2.69,135.0,4.24,44.2,0.463
12.5,58.06,2.3,62.4,27.3,31.8,0.862,2.55,122.0,5.37,42.0,0.566
13.1,30.07,2.2,65.9,20.3,31.4,1.03,2.51,116.0,6.01,42.1,0.561
14.0,67.75,2.71,71.9,32.0,30.7,0.864,2.91,132.0,4.69,40.4,0.63
13.7,66.92,2.49,66.8,34.4,28.9,0.749,2.96,115.0,3.28,41.1,0.454
13.0,49.08,2.32,53.5,24.7,31.2,1.08,2.23,128.0,4.2,41.7,0.553
13.5,49.65,2.91,53.9,22.1,30.9,0.986,2.38,134.0,5.25,39.5,0.629
14.3,53.47,2.46,68.2,25.8,29.8,1.05,2.9,122.0,4.95,41.9,0.616
12.1,42.27,2.85,70.8,25.5,32.0,0.632,2.8,121.0,6.13,41.6,0.646
14.8,59.38,2.65,67.2,33.9,29.9,0.906,2.9,128.0,5.22,42.1,0.461
11.8,42.23,2.93,64.9,30.6,30.0,0.773,2.92,148.0,5.35,41.4,0.566
12.9,44.77,2.99,67.2,36.2,28.2,0.794,2.56,120.0,5.8,42.4,0.454
13.6,36.19,2.11,68.5,37.6,30.8,0.647,2.58,139.0,4.62,42.3,0.567
14.3,68.41,2.96,59.2,25.6,31.1,1.1,2.88,146.0,5.86,42.7,0.464
13.3,31.63,2.74,66.6,17.0,30.1,0.642,2.7,136.0,4.98,43.1,0.466
12.9,48.7,2.03,61.8,24.1,29.2,1.07,2.7,150.0,6.88,41.2,0.453
13.6,43.46,2.7,62.1,27.2,29.4,0.847,2.04,125.0,4.58,40.8,0.457
11.7,39.92,2.78,63.7,36.9,30.1,0.923,2.71,125.0,5.87,42.3,0.581
11.8,46.02,2.93,66.8,30.4,28.8,0.798,2.17,148.0,4.93,40.5,0.568
12.9,37.87,2.47,68.9,29.6,30.2,1.03,2.35,123.0,5.75,42.0,0.619
12.4,52.68,2.92,69.7,20.7,32.3,0.884,2.05,123.0,3.07,42.1,0.473
12.7,58.31,2.8,70.6,25.6,29.2,0.637,2.28,126.0,5.13,42.0,0.631
11.2,48.77,2.34,64.2,33.5,30.6,0.607,2.29,120.0,5.0,42.3,0.468
12.4,60.23,2.99,65.2,34.8,29.0,0.678,2.73,151.0,5.29,43.0,0.592
13.0,41.64,2.67,68.6,32.4,31.8,0.774,2.83,123.0,2.85,41.3,0.538
11.8,54.9,2.99,68.6,24.7,28.7,0.838,2.24,139.0,5.66,42.7,0.51
13.2,41.72,2.49,61.6,23.7,29.5,0.921,2.35,126.0,5.18,41.4,0.464
11.0,69.18,2.81,61.4,25.2,30.1,0.735,2.81,129.0,5.31,41.8,0.625
13.6,42.0,2.54,71.4,35.5,31.1,0.722,2.65,133.0,4.49,41.7,0.6
12.9,56.42,2.01,64.4,29.9,30.3,0.988,2.75,132.0,4.45,42.0,0.528
13.7,56.0,2.89,65.6,27.5,29.6,0.654,2.44,122.0,4.69,40.1,0.62
14.0,37.77,2.74,68.4,31.4,29.5,0.691,2.07,128.0,4.89,41.2,0.554
13.7,32.4,2.58,53.1,30.8,29.9,0.902,2.26,131.0,4.37,41.1,0.52
12.9,30.59,2.5,61.4,28.8,32.3,0.903,2.57,112.0,4.62,42.4,0.587
13.5,68.47,2.84,67.7,25.4,29.9,0.832,2.48,122.0,5.96,40.4,0.634
13.5,30.9,2.98,61.4,36.7,30.5,1.1,2.0,154.0,3.27,41.3,0.614
13.9,49.1,2.08,71.6,33.2,28.7,0.688,2.92,137.0,5.78,41.1,0.532
14.3,40.48,2.63,62.4,31.8,29.3,0.992,2.42,122.0,5.95,38.5,0.561
13.4,32.38,2.29,70.2,43.4,31.3,0.837,2.95,113.0,5.19,44.2,0.501
12.6,42.44,2.99,63.7,30.6,31.3,0.976,2.18,138.0,5.21,43.3,0.467
11.5,54.77,2.29,62.8,31.2,29.9,0.73,2.06,118.0,4.0,42.7,0.454
12.5,62.74,2.4,63.2,38.8,29.2,0.939,2.54,133.0,4.15,39.9,0.644
13.5,66.65,2.77,61.6,27.1,30.2,0.85,2.17,123.0,5.19,40.8,0.565
12.9,60.96,2.58,59.1,22.3,30.1,0.625,2.92,151.0,3.48,42.2,0.637
13.5,35.88,2.6,64.4,35.8,30.9,0.75,2.75,139.0,6.07,43.3,0.556
12.7,34.28,2.14,64.8,25.6,28.7,0.765,2.89,135.0,4.82,40.9,0.57
12.6,60.72,2.58,47.5,25.2,30.3,0.616,2.96,138.0,4.9,40.7,0.605
12.8,50.27,2.11,69.7,33.8,29.4,0.892,2.23,137.0,3.31,41.4,0.503
14.1,58.77,2.09,73.0,32.0,30.1,0.745,2.52,126.0,5.56,42.5,0.502
11.6,57.89,2.06,61.3,40.1,29.9,0.65,2.11,138.0,3.76,40.4,0.533
13.9,61.84,2.89,65.1,27.8,29.7,0.867,2.93,134.0,5.94,40.1,0.546
13.5,66.69,2.73,70.5,28.3,29.7,0.777,2.49,124.0,4.91,42.6,0.505
12.1,46.22,2.98,64.7,30.6,31.0,0.619,2.83,116.0,6.81,42.8,0.508
12.6,45.88,2.95,68.3,31.0,28.7,1.01,2.23,145.0,4.86,41.9,0.607
12.3,66.73,2.02,55.9,27.8,29.3,1.08,2.33,134.0,4.79,42.1,0.481
11.5,69.1,2.34,64.7,26.7,30.4,0.657,2.61,138.0,6.16,43.1,0.554
13.2,40.6,2.04,72.8,33.8,32.0,0.846,2.71,120.0,3.99,43.4,0.547
13.8,37.53,2.94,58.6,29.7,29.5,0.834,2.01,125.0,2.11,43.7,0.645
12.3,48.62,2.37,65.1,33.2,31.2,0.744,2.8,132.0,4.7,42.1,0.495
11.2,48.27,2.1,71.5,26.2,29.9,0.629,2.4,123.0,5.92,41.0,0.601
12.6,34.1,2.17,69.6,28.2,30.0,0.734,2.29,135.0,4.81,42.5,0.583
13.1,60.66,3.0,68.2,24.0,31.2,1.01,2.05,126.0,3.52,41.7,0.54
13.8,56.38,2.15,63.7,39.2,30.5,0.849,2.54,123.0,4.56,41.0,0.545
14.1,47.59,3.0,68.0,39.9,30.8,0.642,2.36,128.0,4.05,42.4,0.571
12.5,63.73,2.78,70.3,31.6,30.6,0.925,2.36,133.0,5.45,42.9,0.526
13.9,30.93,2.87,65.9,28.1,28.9,1.03,2.24,141.0,5.24,41.1,0.638
14.1,37.29,2.36,66.1,32.9,28.9,0.786,2.98,133.0,4.09,43.7,0.633
12.9,64.85,2.53,70.6,37.4,30.3,0.724,2.01,127.0,3.7,43.2,0.62
15.0,69.29,2.97,72.9,31.6,30.3,0.716,2.83,110.0,4.24,42.8,0.631
14.3,46.72,2.13,71.2,25.9,29.8,0.646,2.7,128.0,4.6,43.0,0.491
12.2,49.7,2.55,75.7,27.7,29.5,0.634,2.52,131.0,4.84,41.7,0.605
12.4,34.12,2.18,67.0,31.5,29.7,0.945,2.86,149.0,4.52,41.9,0.563
13.0,30.86,2.26,66.4,32.9,29.8,1.09,2.74,146.0,4.29,42.0,0.645
11.7,58.62,2.52,64.2,30.1,31.5,1.0,2.06,125.0,3.55,41.4,0.529
12.2,37.9,2.15,66.7,33.8,26.9,0.985,2.53,127.0,4.51,42.4,0.504
13.3,50.63,2.68,65.8,32.0,28.3,0.962,2.88,119.0,5.76,43.7,0.511
10.6,36.22,2.79,62.2,26.0,30.2,0.819,2.91,130.0,5.04,42.5,0.565
13.0,64.64,2.69,67.3,27.3,28.1,0.894,2.77,139.0,5.44,42.1,0.498
11.5,44.97,2.71,61.9,23.3,30.9,0.843,2.42,133.0,5.37,42.5,0.591
11.2,48.16,2.46,66.7,26.2,29.8,0.845,2.91,133.0,3.6,41.2,0.517
15.8,51.23,2.48,61.1,35.7,30.8,0.813,2.63,134.0,5.2,41.7,0.587
13.1,65.73,2.17,65.6,31.4,30.3,0.911,2.03,128.0,3.63,41.1,0.505
13.7,65.29,2.5,67.5,25.6,29.5,1.02,2.2,132.0,4.74,41.9,0.615
11.9,41.09,2.4,66.9,26.3,29.5,1.04,2.38,115.0,5.55,42.1,0.499
13.1,48.96,2.62,66.1,25.0,30.5,1.03,2.79,135.0,4.89,43.4,0.536
12.9,56.11,2.11,70.6,25.2,30.6,0.825,2.44,141.0,6.32,41.3,0.498
11.9,55.7,2.56,59.3,30.4,29.7,0.735,2.21,149.0,7.3,43.0,0.56
13.6,59.75,2.55,61.8,30.4,29.3,0.739,2.56,136.0,4.39,43.2,0.522
13.1,52.04,2.18,69.8,35.4,30.0,0.71,2.16,130.0,4.17,41.8,0.576
13.3,61.61,2.5,62.2,35.4,29.1,0.61,2.15,102.0,3.59,41.3,0.592
13.6,43.22,2.18,59.6,38.4,30.7,0.776,2.25,137.0,5.95,41.0,0.545
13.2,51.75,2.7,70.4,36.2,30.9,1.08,2.91,109.0,6.14,41.8,0.57
13.1,51.84,2.46,70.0,24.5,31.3,0.74,2.13,134.0,4.06,41.2,0.456
12.6,58.36,2.43,68.5,22.9,31.5,0.708,2.21,119.0,5.62,41.4,0.535
13.4,51.66,2.03,60.2,35.0,31.4,0.66,2.09,121.0,3.69,42.6,0.539
13.4,42.0,2.74,62.5,30.6,31.7,1.02,2.31,108.0,4.5,41.5,0.542
12.3,61.07,2.87,65.3,35.6,31.0,0.891,2.26,144.0,5.5,41.6,0.569
11.3,32.89,2.75,70.2,24.8,29.8,0.844,2.93,126.0,4.94,43.5,0.557
12.5,38.5,2.39,69.2,27.1,29.4,1.04,2.4,145.0,4.56,41.3,0.628
13.3,43.92,2.31,68.1,26.3,30.6,0.807,2.21,124.0,5.69,41.2,0.494
13.6,62.25,2.82,66.8,21.9,29.7,0.684,2.38,129.0,4.21,42.0,0.525
10.2,45.45,2.58,66.6,17.7,29.7,0.909,2.26,126.0,4.5,42.7,0.65
11.3,69.48,2.83,69.4,29.6,30.4,0.656,2.13,126.0,2.99,40.0,0.547
12.0,36.77,2.91,70.8,23.5,28.6,0.827,2.71,132.0,4.48,41.3,0.639
13.4,43.42,2.59,61.1,40.7,30.4,0.623,2.01,137.0,4.14,42.2,0.603
14.5,31.56,2.86,59.7,34.4,30.4,0.693,2.99,140.0,5.3,43.2,0.642
12.2,42.5,2.65,59.0,33.3,28.9,0.95,2.35,119.0,4.94,40.2,0.525
12.9,38.7,2.43,54.7,33.2,29.9,0.681,2.12,145.0,3.91,41.6,0.591
12.2,51.31,2.71,59.6,29.1,31.4,0.672,2.73,126.0,5.21,42.9,0.597
13.4,44.7,2.0,56.2,28.7,31.9,0.824,2.27,123.0,4.82,41.7,0.587
12.8,62.99,2.12,56.8,33.6,28.8,0.944,2.8,140.0,4.54,41.9,0.642
11.9,57.72,2.75,60.0,35.0,29.7,0.753,2.0,127.0,5.81,42.4,0.609
13.1,41.94,2.45,57.3,23.2,30.3,1.05,2.08,116.0,5.18,41.4,0.471
12.6,31.7,2.8,59.0,33.3,30.9,0.679,2.97,136.0,5.43,41.9,0.588
14.0,60.44,2.2,69.7,29.5,28.4,0.967,2.22,130.0,5.55,41.6,0.467
12.5,37.04,2.67,67.4,27.0,31.4,1.02,2.7,128.0,3.05,42.3,0.555
12.6,68.82,2.72,64.3,33.6,30.0,0.978,2.65,144.0,4.32,43.6,0.596
15.0,32.32,2.69,66.3,38.4,30.0,0.775,2.17,124.0,5.11,41.6,0.603
12.4,62.63,2.28,63.3,27.1,29.2,0.724,2.29,115.0,5.42,42.4,0.586
12.7,49.89,2.4,64.9,30.4,31.3,0.946,2.27,124.0,3.61,41.2,0.645
13.5,40.93,2.83,62.2,31.3,31.8,1.02,2.1,129.0,5.32,42.3,0.632
12.8,57.26,2.81,65.4,25.9,29.1,0.78,2.79,118.0,4.98,41.7,0.509
12.2,62.53,2.5,59.8,31.0,30.7,0.732,2.2,128.0,3.83,42.8,0.531
13.9,35.38,2.59,63.8,32.9,30.0,0.772,2.07,132.0,6.06,43.3,0.561
13.7,36.51,2.48,61.6,31.4,28.9,0.714,2.94,129.0,6.86,43.5,0.471
12.1,45.77,2.97,62.8,31.5,30.0,0.729,2.48,125.0,5.03,42.1,0.596
12.4,58.96,2.21,62.7,28.6,31.2,0.63,2.58,127.0,7.04,42.3,0.527
12.5,46.6,2.03,61.1,28.9,29.5,1.08,2.35,109.0,4.44,43.5,0.549
12.4,44.52,2.36,61.2,30.0,29.7,0.972,2.92,131.0,3.95,42.6,0.553
14.4,69.64,2.09,63.6,37.0,29.2,0.693,2.2,133.0,5.4,42.4,0.525
11.8,65.67,2.03,68.0,30.7,29.1,1.05,2.44,141.0,5.13,42.4,0.515
12.6,61.13,2.16,65.9,21.8,32.0,0.618,2.86,129.0,5.05,42.0,0.598
13.4,46.83,2.13,71.9,29.9,31.0,0.736,2.85,136.0,6.41,42.5,0.555
13.4,57.05,2.93,64.2,31.9,29.6,0.726,2.19,131.0,4.65,43.6,0.487
13.8,34.07,2.26,63.5,29.3,29.5,0.934,2.74,136.0,5.96,40.6,0.556
14.1,36.96,2.43,69.9,27.1,30.1,0.791,2.09,145.0,4.8,42.5,0.579
12.9,66.77,2.37,68.4,36.6,29.4,0.661,2.38,114.0,4.75,42.7,0.537
13.9,51.59,2.88,74.4,31.2,29.6,0.818,2.48,135.0,5.16,40.9,0.524
12.6,45.09,2.25,60.1,17.2,30.1,0.934,2.79,119.0,3.67,43.3,0.597
12.2,58.23,2.96,70.7,33.2,30.4,0.741,2.26,125.0,4.68,42.2,0.463
12.5,37.97,2.94,66.7,28.2,28.6,0.68,2.45,123.0,4.64,42.8,0.578
12.8,45.74,2.94,70.2,29.3,31.1,0.819,2.88,134.0,4.12,43.1,0.547
16.3,62.38,2.37,58.2,34.8,28.3,0.664,2.16,111.0,4.4,41.9,0.613
12.8,44.48,2.93,72.1,31.2,31.5,0.737,2.59,131.0,2.4,42.4,0.492
13.0,59.15,2.82,68.8,31.1,29.9,1.05,2.69,122.0,4.64,43.1,0.527
13.1,49.33,2.11,60.8,32.5,29.3,0.833,2.82,143.0,5.21,42.3,0.586
13.5,31.87,2.13,56.4,39.1,30.4,0.77,2.14,109.0,4.41,44.1,0.558
12.0,39.37,2.82,54.4,30.7,29.1,1.08,2.95,119.0,5.85,42.9,0.462
13.9,67.44,2.14,69.1,26.5,28.6,0.868,2.46,118.0,5.89,43.4,0.554
12.4,41.77,2.61,67.6,35.2,29.0,0.621,2.65,128.0,5.45,42.0,0.478
13.3,42.34,2.36,67.6,20.4,30.7,0.898,2.94,141.0,4.6,40.7,0.571
13.3,60.1,2.17,68.8,32.1,31.3,1.0,2.45,131.0,3.43,43.9,0.563
13.6,51.15,2.35,66.6,31.4,30.3,0.67,2.05,120.0,4.97,42.5,0.61
14.4,59.19,2.52,68.3,28.0,29.4,0.966,2.44,151.0,6.37,44.1,0.516
12.8,36.46,2.45,69.1,31.2,30.6,0.876,2.84,135.0,3.62,41.4,0.531
14.1,54.53,2.9,66.5,38.3,30.2,1.04,2.65,134.0,5.3,40.6,0.618
13.4,30.64,2.91,66.2,19.8,30.3,0.614,2.96,128.0,5.49,41.1,0.522
12.8,33.33,2.58,65.4,29.6,29.0,1.08,2.53,137.0,5.47,41.8,0.641
11.0,36.81,2.77,69.7,31.9,28.9,0.811,2.72,136.0,3.4,40.8,0.492
12.1,40.66,2.79,60.2,31.0,30.7,0.969,2.72,148.0,4.32,42.2,0.644
13.4,38.68,2.8,71.4,28.8,30.2,0.622,2.46,125.0,3.95,42.1,0.601
13.1,41.21,2.58,60.7,29.5,29.6,0.895,2.1,127.0,4.15,41.9,0.6
13.2,45.84,2.0,72.3,26.1,31.8,0.933,2.05,139.0,3.98,39.4,0.484
11.5,60.28,2.88,57.8,17.5,30.1,1.03,2.63,135.0,5.74,41.9,0.558
11.7,41.66,2.85,65.9,23.6,30.1,0.755,2.28,145.0,4.71,42.1,0.472
11.3,32.84,2.01,68.4,34.4,29.1,0.814,2.39,133.0,4.81,42.4,0.488
12.9,66.55,2.0,62.8,22.8,28.6,0.805,2.81,146.0,4.1,39.8,0.61
11.1,37.69,2.48,63.9,23.2,29.5,0.799,2.42,120.0,4.47,42.6,0.618
15.0,67.32,2.3,61.9,28.1,29.7,0.789,2.36,112.0,4.04,41.2,0.608
12.3,44.11,2.64,58.4,29.5,29.0,1.1,2.14,134.0,5.81,42.9,0.601
13.0,63.77,2.9,55.5,28.5,31.3,1.09,2.25,123.0,4.74,41.7,0.622
11.3,37.34,2.15,64.8,36.6,30.7,0.94,2.94,140.0,6.18,41.8,0.537
11.7,48.07,2.86,63.9,27.6,31.5,0.687,2.9,143.0,4.14,41.4,0.586
13.6,60.29,2.46,63.5,33.2,29.8,0.696,2.15,131.0,6.48,40.6,0.511
13.1,40.36,2.47,72.7,31.0,29.7,1.07,2.67,128.0,5.01,43.1,0.627
13.5,64.35,2.75,63.4,40.8,31.1,1.09,2.44,147.0,5.67,42.2,0.621
12.7,68.7,2.68,62.7,32.3,30.8,0.703,2.68,140.0,4.28,42.9,0.569
14.3,61.51,2.57,66.2,33.3,28.7,0.921,2.75,92.3,4.45,42.4,0.629
13.4,54.83,2.49,58.5,27.5,29.7,0.962,2.37,126.0,4.78,42.6,0.605
13.1,37.75,2.1,64.8,31.8,29.9,0.87,2.31,128.0,5.54,42.3,0.623
14.7,45.31,2.77,62.8,25.9,30.4,0.811,2.89,132.0,6.66,42.2,0.627
13.1,39.42,2.62,71.0,36.7,31.2,0.795,2.83,147.0,4.34,41.3,0.59
14.9,36.13,2.92,59.5,29.3,29.4,1.01,2.36,117.0,6.28,42.8,0.494
12.5,36.64,2.74,62.5,24.6,29.1,0.874,2.04,136.0,3.82,42.1,0.523
12.8,36.35,2.79,61.3,29.1,31.6,0.727,2.11,118.0,5.37,40.5,0.598
15.6,54.6,2.05,60.5,30.0,28.7,0.613,2.37,142.0,5.77,41.1,0.586
12.7,65.46,2.36,66.3,35.9,29.2,0.88,2.81,122.0,5.43,41.9,0.585
12.0,30.52,2.06,67.8,19.3,28.6,0.944,2.83,107.0,5.31,41.7,0.475
13.3,38.85,2.54,64.6,32.0,30.1,1.07,2.62,130.0,6.79,43.4,0.568
11.1,42.84,2.19,62.7,34.0,31.2,0.975,2.68,112.0,4.61,41.4,0.476
12.2,52.73,2.34,71.1,24.3,29.4,0.62,2.02,104.0,4.71,41.5,0.578
12.2,33.1,2.4,60.7,34.7,31.0,0.692,2.13,122.0,4.74,43.1,0.589
13.3,66.18,2.28,63.0,29.0,30.5,1.05,2.13,137.0,4.68,41.8,0.468
12.8,54.31,2.58,56.8,25.3,29.9,0.756,2.54,136.0,3.97,41.9,0.52
12.9,30.27,3.0,55.1,26.6,31.1,0.86,2.75,118.0,5.35,42.0,0.546
14.1,67.44,2.48,62.3,25.4,30.9,0.859,2.81,136.0,3.85,41.9,0.452
12.3,66.3,2.42,65.9,32.1,30.6,0.927,2.25,121.0,4.61,41.8,0.562
13.1,45.38,2.47,58.5,41.3,31.2,0.781,2.32,118.0,5.23,41.4,0.5
12.9,66.48,2.25,67.7,31.0,30.8,0.675,2.86,137.0,4.71,42.2,0.489
12.7,63.18,2.5,63.1,33.8,31.4,0.982,2.19,124.0,3.18,41.0,0.466
13.8,39.21,2.45,61.6,27.3,28.4,1.07,2.22,139.0,5.51,42.7,0.568
11.4,65.94,2.74,50.6,29.4,31.4,1.08,2.78,121.0,4.99,42.6,0.616
13.0,65.36,2.42,70.1,38.5,31.8,1.03,2.69,140.0,5.84,41.0,0.544
11.5,32.78,2.16,67.1,26.6,29.8,0.628,2.98,110.0,3.92,42.2,0.636
12.8,65.71,2.92,64.2,31.3,29.9,0.634,2.22,145.0,4.42,41.5,0.508
12.0,51.7,2.52,67.7,37.2,29.3,1.04,2.76,138.0,3.81,42.3,0.519
11.9,67.64,2.91,65.3,38.4,31.4,0.711,2.51,129.0,5.29,40.5,0.535
12.9,54.24,2.84,60.6,21.2,29.2,0.975,2.95,134.0,3.63,42.1,0.609
11.9,56.57,2.44,71.1,36.0,29.6,1.1,2.46,133.0,4.21,43.9,0.453
13.1,32.68,2.67,59.5,35.7,30.6,1.09,2.52,119.0,4.96,41.1,0.509
12.2,37.39,2.26,64.0,30.5,29.9,1.05,2.29,138.0,6.02,42.1,0.64
